광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류
미래엔 초코 : 클래스가 다르다편,2024-07-31,15.0,출판,초등학생용교재,초등학생용학습지
쇼박스 사랑의 하츄핑 : 리뷰 예고편,2024-07-31,15.0,서비스,문화및공연,영화
쿠쿠전자 쿠쿠프리존인덕션 : 나는편,2024-07-31,15.0,가정용품,주방용품,가스렌지 및 전기렌지
비알코리아 배스킨라빈스 : 언빌리버블편,2024-07-31,15.0,식품,아이스크림,아이스크림제품종합
미래엔 초코 : 클래스가 다르다편,2024-07-31,30.0,출판,초등학생용교재,초등학생용학습지
장스푸드 크랑이치킨 : 내려온다 E태호편,2024-07-31,30.0,식품,축산품,치킨가공품
퀘이커즈 AFK 새로운 여정 : 사전예약편,2024-07-31,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임
이베스트투자증권 LS증권 : 등장편,2024-07-31,15.0,"금융,보험및증권",주식및유가증권,주식증권
부산광역시청 부산시 정책 관심 캠페인 : 보입니다편,2024-07-31,30.0,관공서및단체,중앙및지방관공서,지방자치단체
쿠쿠전자 쿠쿠프리존인덕션 : 그만편,2024-07-31,15.0,가정용품,주방용품,가스렌지 및 전기렌지
한국존슨앤드존슨 멀티포컬 : 시작하세요편,2024-07-31,15.0,정밀기기및사무기기,이광학기기,안경및콘택트렌즈
한국포도협회 우리포도 : 왔구나편,2024-07-31,15.0,식품,농산품,과실류원산
한국인삼공사 정관장 : 종합편,2024-07-31,30.0,식품,건강식품,건강식품제품종합
한국존슨앤드존슨  아큐브 오아시스 맥스 원데이 멀티포컬 : 박세리편,2024-07-31,30.0,제약및의료,"이비인후,치과및안과용제","이비인후,치과및안과용제기타"
"헤일리온코리아 센트룸 구미 : 건강, 이제 맛있게 챙기자편",2024-07-31,15.0,식품,건강식품,건강식품기타
이베스트투자증권 LS증권 : 투혼편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권
한국인삼공사 정관장: 종합편,2024-07-31,30.0,식품,건강식품,건강식품제품종합
종근당건강 프로메가 : 브랜드편,2024-07-31,15.0,식품,건강식품,건강보조식품
에치와이 하루야채30 : 하루 건강편,2024-07-31,15.0,음료및기호식품,비알콜음료,기타과실음료
LG전자 기업PR : 종합편,2024-07-31,30.0,그룹및기업광고,그룹광고,그룹PR
쿠쿠전자 : 쿠쿠 셰프스틱 프리존 인덕션,2024-07-31,15.0,가정용품,주방용품,가스렌지 및 전기렌지
이베스트투자증권 LS증권 : 투혼편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권
에치와이 하루야채 30 : 왕의 밥상편,2024-07-31,15.0,음료및기호식품,비알콜음료,기타과실음료
캐롯손해보험 캐롯 : 할인의 신세계,2024-07-31,15.0,"금융,보험및증권",금융및보험,손해보험
한국인삼공사 정관장 : 종합편,2024-07-31,15.0,식품,건강식품,건강식품제품종합
삼성전자 : Galaxy Brand 15초,2024-07-31,15.0,컴퓨터및정보통신,통신기기,휴대폰
경기도교육청 : 지역교육협력 플랫폼 경기공유학교 홍보,2024-07-31,15.0,관공서및단체,중앙및지방관공서,지방자치단체
엘지전자 : LG 퓨리케어 얼음정수기,2024-07-31,30.0,가정용전기전자,주방용전기전자,주방용전기전자기타
장스푸드 : 60계 크크크치킨 이벤트,2024-07-31,15.0,식품,축산품,치킨가공품
이베스트투자증권 : LS증권 CI편,2024-07-31,30.0,"금융,보험및증권",주식및유가증권,주식증권
이베스트투자증권  LS증권 : 투혼편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권
링티 : 직장인편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
한국타이어앤테크놀로지 티스테이션 : 휴일지킴 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어
